# image: /data/Lockheed1-Spring26/artifact_analysis/sunboat/20260304_121433/median_image_20260304_121433.png
# detected_edge: bottom
# n_points: 170
# reject_outliers: false
x,y
5.000,1261.000
15.000,1262.000
25.000,1262.000
35.000,1261.000
45.000,1261.000
55.000,1262.000
65.000,1261.000
75.000,1261.000
85.000,1260.000
95.000,1260.000
105.000,1261.000
115.000,1260.000
125.000,1260.000
135.000,1259.000
145.000,1268.000
155.000,1268.000
165.000,1267.000
175.000,1280.000
185.000,1276.000
195.000,1277.000
205.000,1273.000
215.000,1272.000
225.000,1270.000
235.000,1269.000
245.000,1268.000
255.000,1267.000
265.000,1267.000
275.000,1266.000
285.000,1266.000
295.000,1266.000
305.000,1265.000
315.000,1265.000
325.000,1264.000
335.000,1264.000
345.000,1264.000
355.000,1265.000
365.000,1264.000
375.000,1264.000
385.000,1263.000
395.000,1263.000
405.000,1264.000
415.000,1264.000
425.000,1264.000
435.000,1263.000
445.000,1264.000
455.000,1263.000
465.000,1263.000
475.000,1263.000
485.000,1263.000
495.000,1263.000
505.000,1263.000
515.000,1262.000
525.000,1261.000
535.000,1260.000
545.000,1260.000
555.000,1260.000
565.000,1261.000
575.000,1261.000
585.000,1261.000
595.000,1262.000
605.000,1261.000
615.000,1260.000
625.000,1259.000
635.000,1258.000
645.000,1257.000
655.000,1258.000
665.000,1258.000
675.000,1258.000
685.000,1259.000
695.000,1259.000
705.000,1260.000
715.000,1271.000
725.000,1270.000
735.000,1261.000
745.000,1264.000
755.000,1256.000
765.000,1257.000
775.000,1258.000
785.000,1257.000
795.000,1257.000
805.000,1259.000
815.000,1270.000
825.000,1260.000
835.000,1261.000
845.000,1260.000
855.000,1259.000
865.000,1260.000
875.000,1269.000
885.000,1268.000
895.000,1266.000
905.000,1267.000
915.000,1268.000
925.000,1257.000
935.000,1266.000
945.000,1260.000
955.000,1256.000
965.000,1264.000
975.000,1256.000
985.000,1265.000
995.000,1262.000
1005.000,1261.000
1015.000,1261.000
1025.000,1261.000
1035.000,1263.000
1045.000,1264.000
1055.000,1264.000
1065.000,1264.000
1075.000,1264.000
1085.000,1260.000
1095.000,1258.000
1105.000,1251.000
1115.000,1252.000
1125.000,1252.000
1135.000,1251.000
1145.000,1251.000
1155.000,1250.000
1165.000,1262.000
1175.000,1249.000
1185.000,1249.000
1195.000,1250.000
1205.000,1250.000
1215.000,1251.000
1225.000,1251.000
1235.000,1251.000
1245.000,1252.000
1255.000,1255.000
1265.000,1266.000
1275.000,1254.000
1285.000,1255.000
1295.000,1254.000
1305.000,1255.000
1315.000,1257.000
1325.000,1258.000
1335.000,1259.000
1345.000,1257.000
1355.000,1256.000
1365.000,1253.000
1375.000,1250.000
1385.000,1249.000
1395.000,1249.000
1405.000,1248.000
1415.000,1244.000
1425.000,1241.000
1435.000,1239.000
1445.000,1237.000
1455.000,1235.000
1465.000,1232.000
1475.000,1230.000
1485.000,1227.000
1495.000,1224.000
1505.000,1222.000
1515.000,1219.000
1525.000,1217.000
1535.000,1212.000
1545.000,1209.000
1555.000,1208.000
1565.000,1208.000
1575.000,1208.000
1585.000,1186.000
1595.000,1187.000
1605.000,1185.000
1615.000,1174.000
1625.000,1175.000
1635.000,1164.000
1645.000,1162.000
1655.000,1117.000
1665.000,1111.000
1675.000,1092.000
1685.000,1146.000
1691.000,1126.000
