# image: /data/Lockheed1-Spring26/artifact_analysis/sunboat/sunboat_mean_image.png
# artifact_detected: True
# n_points: 222
# n_rejected: 0
# affected_edges: bottom,left,right
x,y
1679.0,1238.0
1673.0,1245.0
1665.0,1250.0
1657.0,1255.0
1645.0,1257.0
1640.0,1264.0
1635.0,1271.0
1630.0,1278.0
1624.0,1285.0
1619.0,1292.0
1614.0,1298.0
1608.0,1305.0
1582.0,1295.0
1569.0,1294.0
1563.0,1300.0
1555.0,1304.0
1549.0,1310.0
1542.0,1315.0
1533.0,1318.0
1520.0,1317.0
1514.0,1322.0
1507.0,1326.0
1501.0,1332.0
1492.0,1334.0
1481.0,1335.0
1473.0,1338.0
1462.0,1337.0
1449.0,1335.0
1440.0,1337.0
1431.0,1338.0
1420.0,1337.0
1409.0,1337.0
1397.0,1334.0
1390.0,1336.0
1379.0,1335.0
1368.0,1334.0
1358.0,1332.0
1349.0,1332.0
1341.0,1334.0
1332.0,1333.0
1323.0,1334.0
1314.0,1334.0
1306.0,1334.0
1297.0,1334.0
1289.0,1334.0
1281.0,1335.0
1273.0,1335.0
1265.0,1335.0
1256.0,1334.0
1249.0,1335.0
1240.0,1333.0
1233.0,1334.0
1225.0,1334.0
1218.0,1334.0
1210.0,1333.0
1203.0,1334.0
1195.0,1334.0
1187.0,1333.0
1180.0,1333.0
1173.0,1334.0
1166.0,1335.0
1159.0,1335.0
1152.0,1334.0
1145.0,1333.0
1138.0,1334.0
1132.0,1335.0
1125.0,1334.0
1117.0,1333.0
1111.0,1333.0
1104.0,1333.0
1097.0,1333.0
1091.0,1334.0
1085.0,1334.0
1078.0,1334.0
1072.0,1333.0
1066.0,1335.0
1059.0,1334.0
1053.0,1334.0
1047.0,1335.0
1041.0,1335.0
1034.0,1335.0
1028.0,1335.0
1022.0,1335.0
1016.0,1335.0
1010.0,1335.0
1004.0,1335.0
998.0,1335.0
991.0,1334.0
985.0,1334.0
979.0,1333.0
973.0,1333.0
967.0,1333.0
961.0,1334.0
955.0,1334.0
950.0,1334.0
944.0,1334.0
938.0,1333.0
932.0,1333.0
926.0,1334.0
920.0,1334.0
915.0,1335.0
909.0,1335.0
903.0,1335.0
897.0,1335.0
892.0,1335.0
886.0,1334.0
880.0,1335.0
874.0,1335.0
868.0,1335.0
863.0,1335.0
857.0,1335.0
851.0,1335.0
846.0,1335.0
840.0,1334.0
834.0,1335.0
828.0,1335.0
823.0,1335.0
817.0,1335.0
811.0,1335.0
805.0,1334.0
799.0,1335.0
794.0,1335.0
788.0,1336.0
782.0,1336.0
776.0,1336.0
770.0,1335.0
765.0,1335.0
759.0,1335.0
753.0,1334.0
747.0,1334.0
742.0,1333.0
736.0,1332.0
730.0,1332.0
724.0,1331.0
718.0,1331.0
712.0,1332.0
706.0,1331.0
700.0,1331.0
695.0,1330.0
688.0,1331.0
682.0,1332.0
676.0,1332.0
670.0,1333.0
663.0,1333.0
657.0,1333.0
651.0,1332.0
645.0,1331.0
640.0,1330.0
633.0,1330.0
628.0,1328.0
621.0,1330.0
614.0,1330.0
607.0,1331.0
601.0,1330.0
594.0,1331.0
588.0,1331.0
581.0,1332.0
575.0,1330.0
567.0,1333.0
560.0,1333.0
553.0,1333.0
547.0,1333.0
540.0,1333.0
534.0,1330.0
525.0,1333.0
518.0,1333.0
511.0,1333.0
504.0,1333.0
496.0,1334.0
487.0,1336.0
480.0,1335.0
473.0,1335.0
466.0,1334.0
458.0,1335.0
449.0,1336.0
442.0,1335.0
434.0,1336.0
426.0,1335.0
418.0,1334.0
410.0,1335.0
400.0,1337.0
393.0,1335.0
385.0,1335.0
376.0,1335.0
366.0,1336.0
358.0,1335.0
347.0,1338.0
338.0,1338.0
330.0,1337.0
324.0,1332.0
318.0,1328.0
312.0,1323.0
307.0,1319.0
301.0,1314.0
296.0,1309.0
290.0,1304.0
284.0,1300.0
278.0,1296.0
273.0,1291.0
268.0,1286.0
262.0,1280.0
257.0,1275.0
252.0,1270.0
247.0,1265.0
235.0,1266.0
224.0,1267.0
210.0,1269.0
200.0,1268.0
183.0,1273.0
176.0,1269.0
165.0,1268.0
155.0,1266.0
142.0,1267.0
127.0,1269.0
121.0,1263.0
106.0,1265.0
85.0,1271.0
77.0,1266.0
70.0,1261.0
65.0,1254.0
60.0,1247.0
55.0,1240.0
