image_path,relative_path,dataset,location,top_category,confidence,is_empty,fish,coral,marine_animal,vegetation,sand_seafloor,rocks,shipwreck_debris,man_made_structure,diver,open_water,murky_turbid,dark_overexposed,blurry_corrupt
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/flsea-vi/canyons/calibration/imgs/16233171699775543.tiff,canyons/calibration/imgs/16233171699775543.tiff,flsea_vi,canyons/calibration,man_made_structure,0.6446,False,0.0007,0.0039,0.0001,0.0049,0.0134,0.0522,0.1062,0.6446,0.0018,0.0437,0.0258,0.0170,0.0858
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/flsea-vi/canyons/calibration/imgs/16233171700750794.tiff,canyons/calibration/imgs/16233171700750794.tiff,flsea_vi,canyons/calibration,man_made_structure,0.6654,False,0.0004,0.0028,0.0001,0.0034,0.0137,0.0630,0.0501,0.6654,0.0016,0.0449,0.0392,0.0244,0.0907
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/flsea-vi/canyons/calibration/imgs/16233171701758778.tiff,canyons/calibration/imgs/16233171701758778.tiff,flsea_vi,canyons/calibration,man_made_structure,0.6207,False,0.0003,0.0039,0.0001,0.0036,0.0095,0.1333,0.0371,0.6207,0.0018,0.0221,0.0258,0.0140,0.1278
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/flsea-vi/canyons/calibration/imgs/16233171702715645.tiff,canyons/calibration/imgs/16233171702715645.tiff,flsea_vi,canyons/calibration,man_made_structure,0.4454,False,0.0006,0.0033,0.0002,0.0052,0.0119,0.0949,0.1103,0.4454,0.0042,0.0249,0.0677,0.0217,0.2097
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/flsea-vi/canyons/calibration/imgs/16233171703785806.tiff,canyons/calibration/imgs/16233171703785806.tiff,flsea_vi,canyons/calibration,man_made_structure,0.6894,False,0.0008,0.0088,0.0004,0.0075,0.0121,0.0391,0.0599,0.6894,0.0015,0.0318,0.0339,0.0170,0.0978
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/flsea-vi/canyons/calibration/imgs/16233171704750972.tiff,canyons/calibration/imgs/16233171704750972.tiff,flsea_vi,canyons/calibration,man_made_structure,0.6136,False,0.0019,0.0090,0.0007,0.0076,0.0216,0.0503,0.0513,0.6136,0.0021,0.0392,0.0727,0.0219,0.1082
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/flsea-vi/canyons/calibration/imgs/16233171705685608.tiff,canyons/calibration/imgs/16233171705685608.tiff,flsea_vi,canyons/calibration,man_made_structure,0.7818,False,0.0007,0.0094,0.0005,0.0122,0.0085,0.0174,0.0465,0.7818,0.0013,0.0204,0.0555,0.0139,0.0319
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/flsea-vi/canyons/calibration/imgs/16233171706638522.tiff,canyons/calibration/imgs/16233171706638522.tiff,flsea_vi,canyons/calibration,man_made_structure,0.7539,False,0.0020,0.0115,0.0006,0.0105,0.0093,0.0229,0.0591,0.7539,0.0014,0.0293,0.0451,0.0176,0.0370
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/flsea-vi/canyons/calibration/imgs/16233171707897544.tiff,canyons/calibration/imgs/16233171707897544.tiff,flsea_vi,canyons/calibration,man_made_structure,0.6180,False,0.0024,0.0139,0.0011,0.0129,0.0227,0.0577,0.1202,0.6180,0.0019,0.0294,0.0392,0.0192,0.0615
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/flsea-vi/canyons/calibration/imgs/16233171708874671.tiff,canyons/calibration/imgs/16233171708874671.tiff,flsea_vi,canyons/calibration,man_made_structure,0.7072,False,0.0023,0.0112,0.0005,0.0072,0.0108,0.0287,0.0784,0.7072,0.0011,0.0221,0.0395,0.0209,0.0703
