image_path,relative_path,dataset,location,top_category,confidence,is_empty,fish,coral,marine_animal,vegetation,sand_seafloor,rocks,shipwreck_debris,man_made_structure,diver,open_water,murky_turbid,dark_overexposed,blurry_corrupt
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00001.png,2023-09-03-07-58-37/camera/00001.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.4632,True,0.0000,0.0006,0.0001,0.0011,0.0017,0.0028,0.2557,0.2243,0.0002,0.0271,0.4632,0.0044,0.0188
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00002.png,2023-09-03-07-58-37/camera/00002.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.4135,True,0.0000,0.0004,0.0001,0.0008,0.0011,0.0027,0.2642,0.2772,0.0002,0.0198,0.4135,0.0034,0.0164
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00003.png,2023-09-03-07-58-37/camera/00003.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.4692,True,0.0000,0.0006,0.0002,0.0011,0.0010,0.0025,0.2769,0.1774,0.0003,0.0318,0.4692,0.0085,0.0304
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00004.png,2023-09-03-07-58-37/camera/00004.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.5057,True,0.0001,0.0004,0.0002,0.0012,0.0011,0.0022,0.2166,0.1769,0.0003,0.0416,0.5057,0.0112,0.0425
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00005.png,2023-09-03-07-58-37/camera/00005.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.5158,True,0.0000,0.0015,0.0001,0.0020,0.0029,0.0051,0.1690,0.2137,0.0002,0.0503,0.5158,0.0099,0.0295
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00006.png,2023-09-03-07-58-37/camera/00006.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.4637,True,0.0000,0.0015,0.0001,0.0023,0.0018,0.0051,0.2440,0.1946,0.0003,0.0407,0.4637,0.0117,0.0342
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00007.png,2023-09-03-07-58-37/camera/00007.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.6008,False,0.0000,0.0003,0.0002,0.0009,0.0006,0.0021,0.6008,0.1392,0.0003,0.0130,0.2122,0.0055,0.0248
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00008.png,2023-09-03-07-58-37/camera/00008.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.5336,False,0.0001,0.0003,0.0003,0.0010,0.0007,0.0017,0.5336,0.2001,0.0013,0.0155,0.2173,0.0078,0.0202
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00009.png,2023-09-03-07-58-37/camera/00009.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.4768,False,0.0001,0.0003,0.0003,0.0012,0.0008,0.0021,0.4768,0.1352,0.0008,0.0261,0.3071,0.0132,0.0361
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00010.png,2023-09-03-07-58-37/camera/00010.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.4938,True,0.0001,0.0004,0.0003,0.0009,0.0012,0.0016,0.2610,0.1456,0.0005,0.0446,0.4938,0.0174,0.0326
