rank,path,combined_score,clip_score,yolo_score,num_detections,num_interesting
1,/Users/leolu/Desktop/seathru/08-03-2022/2022-03-08_15-28-24rec3/camera/c5443s18.jpg,0.7240,0.5712,0.8847,3,3
2,/Users/leolu/Desktop/seathru/07-03-2022/2022-03-07_13-58-31rec0/camera/c1067s285.jpg,0.3694,0.5683,0.1922,1,1
3,/Users/leolu/Desktop/seathru/07-03-2022/2022-03-07_13-58-31rec0/camera/c1066s285.jpg,0.3371,0.5654,0.1302,1,1
4,/Users/leolu/Desktop/seathru/07-03-2022/2022-03-07_13-58-31rec0/camera/c1095s289.jpg,0.3209,0.5652,0.0998,1,0
5,/Users/leolu/Desktop/seathru/07-03-2022/2022-03-07_13-58-31rec0/camera/c123s42.jpg,0.2745,0.5723,0.0000,0,0
6,/Users/leolu/Desktop/seathru/07-03-2022/2022-03-07_13-58-31rec0/camera/c1063s283.jpg,0.2745,0.5718,0.0000,0,0
7,/Users/leolu/Desktop/seathru/07-03-2022/2022-03-07_13-58-31rec0/camera/c1461s355.jpg,0.2743,0.5700,0.0000,0,0
8,/Users/leolu/Desktop/seathru/07-03-2022/2022-03-07_13-58-31rec0/camera/c125s44.jpg,0.2743,0.5727,0.0000,0,0
9,/Users/leolu/Desktop/seathru/07-03-2022/2022-03-07_13-58-31rec0/camera/c1419s353.jpg,0.2742,0.5722,0.0000,0,0
10,/Users/leolu/Desktop/seathru/07-03-2022/2022-03-07_13-58-31rec0/camera/c1420s353.jpg,0.2741,0.5720,0.0000,0,0
11,/Users/leolu/Desktop/seathru/07-03-2022/2022-03-07_13-58-31rec0/camera/c115s37.jpg,0.2741,0.5699,0.0000,0,0
12,/Users/leolu/Desktop/seathru/07-03-2022/2022-03-07_13-58-31rec0/camera/c122s42.jpg,0.2741,0.5711,0.0000,0,0
13,/Users/leolu/Desktop/seathru/07-03-2022/2022-03-07_13-58-31rec0/camera/c111s35.jpg,0.2740,0.5701,0.0000,0,0
14,/Users/leolu/Desktop/seathru/07-03-2022/2022-03-07_13-58-31rec0/camera/c112s36.jpg,0.2740,0.5699,0.0000,0,0
15,/Users/leolu/Desktop/seathru/07-03-2022/2022-03-07_13-58-31rec0/camera/c101s29.jpg,0.2740,0.5708,0.0000,0,0
16,/Users/leolu/Desktop/seathru/07-03-2022/2022-03-07_13-58-31rec0/camera/c114s37.jpg,0.2738,0.5693,0.0000,0,0
17,/Users/leolu/Desktop/seathru/07-03-2022/2022-03-07_13-58-31rec0/camera/c121s42.jpg,0.2738,0.5703,0.0000,0,0
18,/Users/leolu/Desktop/seathru/07-03-2022/2022-03-07_13-58-31rec0/camera/c1418s352.jpg,0.2737,0.5710,0.0000,0,0
19,/Users/leolu/Desktop/seathru/07-03-2022/2022-03-07_13-58-31rec0/camera/c113s36.jpg,0.2737,0.5692,0.0000,0,0
20,/Users/leolu/Desktop/seathru/07-03-2022/2022-03-07_13-58-31rec0/camera/c1224s315.jpg,0.2737,0.5711,0.0000,0,0
